phone,brand,configuration,import_taka,official_taka,difference_taka,premium_over_import_pct,saving_off_official_pct
Samsung Galaxy Z Fold 5,Samsung,12GB/256GB,123999,285999,162000,131,57
Samsung Galaxy S25 Ultra,Samsung,12GB/256GB,94499,224999,130500,138,58
Samsung Galaxy Z Flip 6,Samsung,12GB/256GB,84999,197999,113000,133,57
Apple iPhone 17 Pro Max,Apple,2TB,239999,341999,102000,43,30
Samsung Galaxy S24 Ultra,Samsung,12GB/256GB,106999,207999,101000,94,49
Samsung Galaxy S26 Ultra,Samsung,12GB/256GB,104499,188999,84500,81,45
Apple iPhone 16 Plus,Apple,256GB,102499,184999,82500,80,45
Apple iPhone Air,Apple,512GB,145000,224999,79999,55,36
Apple iPhone 17 Pro,Apple,1TB,187499,261000,73501,39,28
Samsung Galaxy S26 Plus,Samsung,12GB/256GB,95499,162999,67500,71,41
Honor Magic V6,Honor,16GB/512GB,187999,249999,62000,33,25
Huawei Mate X7,Huawei,16GB/512GB,184999,239999,55000,30,23
Apple iPhone 17,Apple,256GB,102500,147999,45499,44,31
Google Pixel 10 Pro,Google,16GB/128GB,85999,130999,45000,52,34
Vivo X300 Pro,Vivo,16GB/512GB,106999,149999,43000,40,29
Samsung Galaxy S26,Samsung,12GB/256GB,82999,122999,40000,48,33
Apple iPhone 17e,Apple,256GB,77990,114999,37009,47,32
Apple iPhone 16,Apple,128GB,85000,121999,36999,44,30
Apple iPhone 16 Pro Max,Apple,256GB,137499,173000,35501,26,21
Google Pixel 9 Pro XL,Google,16GB/128GB,78499,107999,29500,38,27
Huawei Mate 80 Pro,Huawei,16GB/512GB,109999,137999,28000,25,20
Honor Magic 8 Pro,Honor,12GB/512GB,114000,139999,25999,23,19
Honor 600 Pro,Honor,12GB/256GB,76499,97499,21000,27,22
Redmi Note 17 Pro 5G,Redmi,8GB/256GB,34499,54999,20500,59,37
Samsung Galaxy A57 5G,Samsung,8GB/256GB,47999,66999,19000,40,28
OnePlus 13,OnePlus,16GB/512GB,94999,111999,17000,18,15
Vivo V70 FE 5G,Vivo,12GB/256GB,46000,62699,16699,36,27
Google Pixel 9,Google,12GB/128GB,68499,84999,16500,24,19
Samsung Galaxy A27 5G,Samsung,8GB/128GB,36299,52299,16000,44,31
Xiaomi 17T,Xiaomi,12GB/256GB,60490,74999,14509,24,19
Vivo V60,Vivo,12GB/256GB,50500,64999,14499,29,22
OnePlus 15,OnePlus,12GB/256GB,89999,103999,14000,16,13
Samsung Galaxy A37 5G,Samsung,8GB/128GB,38999,51999,13000,33,25
Vivo V70 5G,Vivo,12GB/512GB,71990,83599,11609,16,14
Samsung Galaxy S25 FE,Samsung,8GB/256GB,66999,78500,11501,17,15
Honor 600,Honor,12GB/256GB,56499,67999,11500,20,17
Google Pixel 10a,Google,8GB/128GB,56499,67999,11500,20,17
Google Pixel 9a,Google,8GB/128GB,52499,62999,10500,20,17
Google Pixel 7,Google,8GB/128GB,36499,45999,9500,26,21
Samsung Galaxy A56 5G,Samsung,12GB/256GB,47490,56499,9009,19,16
Samsung Galaxy A36 5G,Samsung,8GB/128GB,35990,44499,8509,24,19
Realme 15 Pro 5G,Realme,12GB/256GB,47490,55999,8509,18,15
Honor 400,Honor,12GB/512GB,48999,57499,8500,17,15
Vivo V50 5G,Vivo,12GB/256GB,49990,57999,8009,16,14
Redmi Note 15 5G,Redmi,8GB/256GB,27499,35499,8000,29,23
OPPO Reno14 5G,OPPO,12GB/256GB,48990,56990,8000,16,14
OnePlus Nord 6,OnePlus,8GB/256GB,55999,62999,7000,13,11
Samsung Galaxy M15,Samsung,6GB/128GB,18890,25499,6609,35,26
Samsung Galaxy A07 4G,Samsung,4GB/128GB,17990,23999,6009,33,25
Honor X8d,Honor,8GB/256GB,31499,36999,5500,17,15
Google Pixel 7 Pro,Google,12GB/128GB,47999,53499,5500,11,10
Redmi Note 17,Redmi,6GB/128GB,27999,32999,5000,18,15
Google Pixel 8 Pro,Google,12GB/128GB,64999,69999,5000,8,7
Redmi Note 14 4G,Redmi,8GB/256GB,23999,28799,4800,20,17
Redmi Note 15 Pro Plus 5G,Redmi,12GB/512GB,52499,57299,4800,9,8
Honor 600 Lite,Honor,8GB/256GB,40888,44999,4111,10,9
Samsung Galaxy M06 5G,Samsung,6GB/128GB,22890,26499,3609,16,14
Redmi Note 15 4G,Redmi,8GB/256GB,27790,30799,3009,11,10
Honor X9d,Honor,12GB/256GB,41490,42999,1509,4,4
Redmi 17,Redmi,6GB/128GB,22400,23699,1299,6,5
Realme 12 4G,Realme,8GB/256GB,23899,24999,1100,5,4
Samsung Galaxy A17 5G,Samsung,8GB/256GB,30999,31999,1000,3,3
Redmi 15 4G,Redmi,8GB/256GB,23199,23799,600,3,3
Honor X5c,Honor,4GB/64GB,14999,15100,101,1,1
Honor X6c,Honor,6GB/128GB,19490,19499,9,0,0
Honor X7d,Honor,8GB/128GB,22990,22999,9,0,0
