from_gb,to_gb,difference_taka,phone,shop
64,128,-500,Tecno Spark Go 3,Shop 06
64,128,-500,Tecno Spark Go 3,Shop 14
64,128,-100,Samsung Galaxy A06 4G,Shop 02
64,128,500,Realme Note 60,Shop 02
64,128,500,Realme Note 60,Shop 14
64,128,800,Realme C33,Shop 02
64,128,959,OPPO A6x,Shop 02
64,128,1000,Realme Note 60,Shop 02
64,128,1000,Vivo Y05,Shop 11
64,128,1000,Infinix Smart 20,Shop 06
64,128,1000,Infinix Smart 20,Shop 14
64,128,1000,Vivo Y04,Shop 02
64,128,1000,Vivo Y04,Shop 06
64,128,1000,Vivo Y04,Shop 14
64,128,1000,Nubia A57,Shop 09
64,128,1000,OPPO A6x,Shop 06
64,128,1000,Samsung Galaxy A04s,Shop 02
64,128,1000,OPPO K14x,Shop 07
64,128,1100,Samsung Galaxy A06 4G,Shop 14
64,128,1400,Samsung Galaxy A06 4G,Shop 02
64,128,1500,Vivo Y19s,Shop 02
64,128,1800,Realme Note 70,Shop 11
64,128,1900,Samsung Galaxy A06 4G,Shop 06
64,128,1900,Samsung Galaxy A06 4G,Shop 03
64,128,1900,Realme C100i,Shop 11
64,128,2000,Realme Note 60x,Shop 02
64,128,2000,Vivo Y05,Shop 06
64,128,2000,Vivo Y05,Shop 09
64,128,2000,Vivo Y05,Shop 13
64,128,2000,Vivo Y05,Shop 14
64,128,2000,Vivo Y04,Shop 02
64,128,2000,Realme Note 70,Shop 01
64,128,2000,Realme Note 70,Shop 02
64,128,2000,Realme Note 70,Shop 06
64,128,2000,Realme Note 70,Shop 13
64,128,2000,Realme Note 70,Shop 10
64,128,2000,Realme Note 70,Shop 14
64,128,2000,Realme C100i,Shop 01
64,128,2000,OPPO A6x,Shop 01
64,128,2000,OPPO A6x,Shop 11
64,128,2000,OPPO A6x,Shop 08
64,128,2000,OPPO A6x,Shop 14
64,128,2000,OPPO A6c,Shop 06
64,128,2000,OPPO A6c,Shop 09
64,128,2000,OPPO A6c,Shop 08
64,128,2000,OPPO A6c,Shop 14
64,128,2400,Infinix Smart 20,Shop 09
64,128,2500,Honor X5c,Shop 07
64,128,2500,Samsung Galaxy A07 4G,Shop 07
64,128,2841,Realme C100i,Shop 02
64,128,3000,Realme C100i,Shop 06
64,128,3000,Realme C100i,Shop 13
64,128,3000,Realme C100i,Shop 10
64,128,3000,Realme C100i,Shop 14
64,128,7500,Samsung Galaxy A07 4G,Shop 11
64,128,8000,Samsung Galaxy A07 4G,Shop 01
64,128,8200,Samsung Galaxy A07 4G,Shop 06
64,128,8200,Samsung Galaxy A07 4G,Shop 03
64,128,8200,Samsung Galaxy A07 4G,Shop 14
128,256,-3500,iQOO Z11x,Shop 11
128,256,-3000,Vivo T5x,Shop 11
128,256,-3000,Samsung Galaxy A36 5G,Shop 14
128,256,-2700,Samsung Galaxy A17 5G,Shop 06
128,256,-2700,Samsung Galaxy A17 5G,Shop 03
128,256,-2700,Samsung Galaxy A17 5G,Shop 14
128,256,-2300,Redmi Note 14 4G,Shop 01
128,256,-1500,Samsung Galaxy S21 FE 5G,Shop 14
128,256,-1500,Google Pixel 8,Shop 14
128,256,-1000,iQOO Z10x,Shop 14
128,256,-1000,Realme P4x,Shop 11
128,256,0,Samsung Galaxy A53 5G,Shop 02
128,256,500,Redmi Note 14 4G,Shop 07
128,256,500,Motorola G96,Shop 02
128,256,500,Samsung Galaxy A37 5G,Shop 11
128,256,800,Samsung Galaxy A16 4G,Shop 02
128,256,800,Samsung Galaxy A17 4G,Shop 02
128,256,1000,Honor X6c,Shop 01
128,256,1000,Honor X6c,Shop 06
128,256,1000,Honor X6c,Shop 14
128,256,1000,OPPO A5 Pro,Shop 06
128,256,1000,Samsung Galaxy A53 5G,Shop 02
128,256,1000,Motorola Edge 60 Fusion,Shop 07
128,256,1000,Motorola Edge 60 Fusion,Shop 11
128,256,1000,Motorola Edge 60 Fusion,Shop 01
128,256,1000,Samsung Galaxy A37 5G,Shop 14
128,256,1000,Samsung Galaxy A37 5G,Shop 02
128,256,1000,Samsung Galaxy A27 5G,Shop 14
128,256,1000,OnePlus Nord CE6,Shop 14
128,256,1000,OnePlus Nord 4,Shop 14
128,256,1200,Motorola Edge 70 Fusion,Shop 02
128,256,1500,Vivo Y04,Shop 06
128,256,1500,Vivo Y04,Shop 14
128,256,1500,Redmi Note 14 4G,Shop 11
128,256,1500,Vivo T5x,Shop 01
128,256,1500,Redmi Note 17,Shop 01
128,256,1500,Redmi Note 15 Pro 5G,Shop 11
128,256,1500,Samsung Galaxy A27 5G,Shop 11
128,256,1500,Tecno Camon 40,Shop 02
128,256,1500,Tecno Camon 40,Shop 06
128,256,1500,Vivo V70 FE 5G,Shop 01
128,256,1500,Samsung Galaxy A34 5G,Shop 14
128,256,1700,Honor X7d,Shop 11
128,256,1800,Samsung Galaxy A36 5G,Shop 02
128,256,1900,Honor X7d,Shop 01
128,256,2000,Honor X6c,Shop 07
128,256,2000,Honor X7d,Shop 06
128,256,2000,Honor X7d,Shop 14
128,256,2000,Vivo Y31d,Shop 06
128,256,2000,Vivo Y31d,Shop 13
128,256,2000,Vivo Y31d,Shop 14
128,256,2000,Realme 15x,Shop 07
128,256,2000,Vivo Y29 4G,Shop 06
128,256,2000,Vivo Y29 4G,Shop 02
128,256,2000,Realme C85 Pro,Shop 01
128,256,2000,Realme C85 Pro,Shop 02
128,256,2000,Realme C85 Pro,Shop 06
128,256,2000,Realme C85 Pro,Shop 11
128,256,2000,Realme C85 Pro,Shop 10
128,256,2000,Realme C85 Pro,Shop 14
128,256,2000,iQOO Z10x,Shop 02
128,256,2000,Samsung Galaxy A17 5G,Shop 07
128,256,2000,Vivo V50 Lite,Shop 02
128,256,2000,OnePlus Nord CE6 Lite,Shop 07
128,256,2000,Realme 13 Pro 5G,Shop 02
128,256,2000,Samsung Galaxy A36 5G,Shop 07
128,256,2000,Samsung Galaxy A36 5G,Shop 11
128,256,2000,Samsung Galaxy M56 5G,Shop 02
128,256,2000,Samsung Galaxy M56 5G,Shop 07
128,256,2000,Samsung Galaxy M56 5G,Shop 11
128,256,2000,Samsung Galaxy A34 5G,Shop 02
128,256,2000,Samsung Galaxy A35 5G,Shop 14
128,256,2000,Samsung Galaxy A35 5G,Shop 02
128,256,2100,Samsung Galaxy A17 5G,Shop 01
128,256,2200,Samsung Galaxy A27 5G,Shop 01
128,256,2500,Honor X7d,Shop 07
128,256,2500,Realme 15x,Shop 11
128,256,2500,Redmi Note 14 Pro 5G,Shop 14
128,256,2500,Redmi Note 17,Shop 11
128,256,2500,Redmi Note 15 Pro 4G,Shop 07
128,256,2500,Redmi Note 15 Pro 5G,Shop 07
128,256,2500,Redmi Note 15 Pro 5G,Shop 14
128,256,2500,OnePlus Nord CE6 Lite,Shop 11
128,256,2500,iQOO Z10R,Shop 02
128,256,2500,Samsung Galaxy A36 5G,Shop 11
128,256,2500,Samsung Galaxy A36 5G,Shop 14
128,256,2500,Samsung Galaxy A36 5G,Shop 01
128,256,2500,Samsung Galaxy A36 5G,Shop 06
128,256,2500,Samsung Galaxy A36 5G,Shop 03
128,256,2500,Realme Narzo Power,Shop 11
128,256,2500,Samsung Galaxy A56 5G,Shop 14
128,256,2500,Samsung Galaxy A56 5G,Shop 02
128,256,2501,POCO M8,Shop 07
128,256,2509,Redmi Note 15 5G,Shop 07
128,256,2700,Realme C65,Shop 02
128,256,2900,Tecno POVA Curve 2 5G,Shop 15
128,256,2991,POCO X7,Shop 02
128,256,3000,Realme C65,Shop 02
128,256,3000,Realme C65,Shop 14
128,256,3000,Honor X6c,Shop 11
128,256,3000,Redmi Note 15 5G,Shop 11
128,256,3000,OPPO A6 4G,Shop 11
128,256,3000,Vivo V40 Lite,Shop 02
128,256,3000,Vivo V40 Lite,Shop 06
128,256,3000,Vivo T5x,Shop 07
128,256,3000,Samsung Galaxy A17 5G,Shop 11
128,256,3000,Vivo V50 Lite,Shop 02
128,256,3000,Vivo V50 Lite,Shop 06
128,256,3000,Realme 14T 5G,Shop 02
128,256,3000,Nothing Phone 3a Lite,Shop 07
128,256,3000,POCO X7,Shop 07
128,256,3000,Samsung Galaxy A53 5G,Shop 02
128,256,3000,Realme 16T,Shop 07
128,256,3000,Redmi Note 14 Pro Plus 5G,Shop 01
128,256,3000,Realme 16,Shop 07
128,256,3000,Realme 16,Shop 11
128,256,3000,OPPO F31 Pro,Shop 02
128,256,3000,Motorola Edge 60 Fusion,Shop 02
128,256,3000,Realme 15 5G,Shop 07
128,256,3000,Samsung Galaxy A37 5G,Shop 01
128,256,3000,Tecno POVA Curve 2 5G,Shop 14
128,256,3000,Tecno POVA Curve 2 5G,Shop 09
128,256,3000,Realme P4,Shop 02
128,256,3000,Motorola Edge 70 Fusion,Shop 14
128,256,3000,Realme P4 Power,Shop 14
128,256,3000,Vivo V70 FE 5G,Shop 11
128,256,3000,Google Pixel 9a,Shop 14
128,256,3000,Samsung Galaxy A54 5G,Shop 02
128,256,3009,OPPO A6 4G,Shop 13
128,256,3009,Samsung Galaxy A17 4G,Shop 07
128,256,3200,Honor X7d,Shop 09
128,256,3300,Samsung Galaxy A55 5G,Shop 02
128,256,3400,Samsung Galaxy A17 5G,Shop 02
128,256,3491,Redmi Note 15 5G,Shop 07
128,256,3491,Vivo V70 FE 5G,Shop 07
128,256,3499,Samsung Galaxy A17 4G,Shop 01
128,256,3500,Redmi Note 15 5G,Shop 14
128,256,3500,Samsung Galaxy A15 5G,Shop 02
128,256,3500,Samsung Galaxy A17 5G,Shop 14
128,256,3500,POCO X7,Shop 14
128,256,3500,Motorola G96,Shop 14
128,256,3500,Samsung Galaxy F56,Shop 07
128,256,3500,Nothing Phone 4b,Shop 14
128,256,3500,Samsung Galaxy A57 5G,Shop 14
128,256,3500,Nothing Phone 4a Pro,Shop 14
128,256,3850,Tecno Camon 50,Shop 15
128,256,4000,Realme Narzo 60,Shop 14
128,256,4000,Realme Narzo 60,Shop 02
128,256,4000,Redmi Note 15 5G,Shop 07
128,256,4000,OPPO A6 4G,Shop 06
128,256,4000,OPPO A6 4G,Shop 08
128,256,4000,OPPO A6 4G,Shop 14
128,256,4000,Samsung Galaxy A17 4G,Shop 14
128,256,4000,iQOO Z10x,Shop 02
128,256,4000,Infinix Note Edge,Shop 14
128,256,4000,Infinix Note Edge,Shop 06
128,256,4000,Samsung Galaxy A17 5G,Shop 02
128,256,4000,Redmi Note 14 Pro 5G,Shop 14
128,256,4000,Tecno Camon 50,Shop 14
128,256,4000,Tecno Camon 50,Shop 09
128,256,4000,Samsung Galaxy A37 5G,Shop 14
128,256,4000,Samsung Galaxy A37 5G,Shop 01
128,256,4000,Samsung Galaxy A37 5G,Shop 06
128,256,4000,Samsung Galaxy A37 5G,Shop 07
128,256,4000,Samsung Galaxy A37 5G,Shop 09
128,256,4000,Samsung Galaxy A37 5G,Shop 03
128,256,4000,Samsung Galaxy A27 5G,Shop 07
128,256,4000,Realme P4,Shop 07
128,256,4000,OnePlus Nord CE6,Shop 11
128,256,4000,Nothing Phone 4b,Shop 07
128,256,4000,Nothing Phone 4b,Shop 11
128,256,4000,Vivo S2,Shop 11
128,256,4000,Nothing Phone 4a,Shop 11
128,256,4000,Google Pixel 9a,Shop 07
128,256,4000,Google Pixel 9a,Shop 11
128,256,4000,Nothing Phone 4a Pro,Shop 07
128,256,4000,Realme 16 Pro Plus,Shop 14
128,256,4000,Samsung Galaxy A54 5G,Shop 02
128,256,4000,Samsung Galaxy A54 5G,Shop 14
128,256,4100,Meizu Note 22,Shop 01
128,256,4500,Samsung Galaxy A17 5G,Shop 11
128,256,4500,Samsung Galaxy A37 5G,Shop 11
128,256,4500,Realme P4,Shop 11
128,256,4500,Realme P4 Power,Shop 07
128,256,4500,OPPO Reno 13 5G,Shop 02
128,256,4500,Nothing Phone 4a,Shop 01
128,256,4500,Nothing Phone 4a,Shop 14
128,256,4500,Google Pixel 9,Shop 14
128,256,4500,Samsung Galaxy S24 FE,Shop 14
128,256,4501,Samsung Galaxy A17 5G,Shop 01
128,256,5000,Samsung Galaxy A15 5G,Shop 02
128,256,5000,OPPO A6 Pro,Shop 06
128,256,5000,Samsung Galaxy A36 5G,Shop 02
128,256,5000,Tecno Camon 50,Shop 06
128,256,5000,Motorola Edge 70 Fusion,Shop 07
128,256,5000,Motorola Edge 70 Fusion,Shop 11
128,256,5000,OnePlus Nord CE6,Shop 07
128,256,5000,Tecno Camon Air,Shop 06
128,256,5000,Tecno Camon Air,Shop 09
128,256,5000,Tecno Camon Air,Shop 14
128,256,5000,Nothing Phone 4a,Shop 07
128,256,5000,Nothing Phone 4a Pro,Shop 11
128,256,5000,Samsung Galaxy S21 FE 5G,Shop 02
128,256,5000,Realme 16 Pro Plus,Shop 07
128,256,5000,Google Pixel 9,Shop 07
